Date,Price,Open,High,Low,Volume,Chg%,,
Dec-21,482.4,467.85,506.4,440,433.23M,5.19%,,
Jan-22,517.75,493.5,528.5,467.65,431.28M,7.33%,,
Feb-22,454.05,508,514.75,405.45,492.78M,-12.30%,,
Mar-22,433.75,452.95,458.5,376.35,670.78M,-4.47%,,
Apr-22,437.6,434,462.7,417,335.63M,0.89%,,
May-22,443.55,437.95,449.5,366.2,471.12M,1.36%,,
Jun-22,411.8,445.1,446,376.65,341.68M,-7.16%,,
Jul-22,449.6,410.65,460.75,402.3,313.11M,9.18%,,
Aug-22,471.1,451.95,494.4,447.6,316.99M,4.78%,,
Sep-22,404.6,462.5,474.4,390.35,344.73M,-14.12%,,
Oct-22,412.75,405.5,417.65,391.1,255.16M,2.01%,,
Nov-22,439.4,414.9,441.2,409.2,272.54M,6.46%,,
Dec-22,387.95,443,443.6,375.2,285.90M,-11.71%,,
